TimeSlice	Time	R Knee PF ext IN	R Knee PF flx IN	R Knee PF ext	R Knee PF flx
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531245	-0.0531234
2	0.0004	-0.0587731	-0.0587731	-0.053409	-0.0534059
3	0.0006	-0.0584436	-0.0584433	-0.0537011	-0.0536953
4	0.0008	-0.0581497	-0.0581492	-0.0539981	-0.0539889
5	0.001	-0.0578892	-0.0578882	-0.0542974	-0.0542842
6	0.0012	-0.0576599	-0.0576582	-0.0545967	-0.0545792
7	0.0014	-0.0574595	-0.0574569	-0.0548941	-0.0548719
8	0.0016	-0.0572859	-0.0572824	-0.0551881	-0.0551608
9	0.0018	-0.0571373	-0.0571325	-0.0554771	-0.0554445
10	0.002	-0.0570117	-0.0570055	-0.0557601	-0.055722
11	0.0022	-0.0569074	-0.0568995	-0.056036	-0.0559923
12	0.0024	-0.0568228	-0.0568131	-0.0563042	-0.0562547
13	0.0026	-0.0567563	-0.0567445	-0.0565639	-0.0565085
14	0.0028	-0.0567065	-0.0566924	-0.0568147	-0.0567532
15	0.003	-0.0566719	-0.0566554	-0.0570563	-0.0569886
16	0.0032	-0.0566513	-0.0566321	-0.0572884	-0.0572144
17	0.0034	-0.0566436	-0.0566216	-0.0575109	-0.0574304
18	0.0036	-0.0566476	-0.0566225	-0.0577236	-0.0576365
19	0.0038	-0.0566623	-0.0566339	-0.0579267	-0.0578328
20	0.004	-0.0566867	-0.0566548	-0.0581202	-0.0580192
21	0.0042	-0.0567199	-0.0566843	-0.0583042	-0.0581959
22	0.0044	-0.0567611	-0.0567215	-0.0584788	-0.0583631
23	0.0046	-0.0568095	-0.0567656	-0.0586443	-0.0585208
24	0.0048	-0.0568643	-0.0568159	-0.0588008	-0.0586694
25	0.005	-0.0569248	-0.0568718	-0.0589486	-0.0588089
26	0.0052	-0.0569905	-0.0569324	-0.0590879	-0.0589398
27	0.0054	-0.0570607	-0.0569973	-0.0592191	-0.0590621
28	0.0056	-0.0571348	-0.0570659	-0.0593423	-0.0591763
29	0.0058	-0.0572124	-0.0571375	-0.0594579	-0.0592826
30	0.006	-0.0572929	-0.0572118	-0.0595662	-0.0593812
31	0.0062	-0.0573759	-0.0572883	-0.0596674	-0.0594725
32	0.0064	-0.0574609	-0.0573664	-0.0597618	-0.0595567
33	0.0066	-0.0575476	-0.0574459	-0.0598492	-0.0596341
34	0.0068	-0.0576356	-0.0575264	-0.0599301	-0.059705
35	0.007	-0.0577245	-0.0576074	-0.0600046	-0.0597696
36	0.0072	-0.0578137	-0.0576887	-0.0600732	-0.0598283
37	0.0074	-0.0578995	-0.05777	-0.0601361	-0.0598813
38	0.0076	-0.0579818	-0.0578509	-0.0601936	-0.059929
39	0.0078	-0.058061	-0.0579312	-0.0602459	-0.0599717
40	0.008	-0.058137	-0.0580108	-0.0602934	-0.0600098
41	0.0082	-0.05821	-0.0580888	-0.0603363	-0.0600435
42	0.0084	-0.0582802	-0.0581637	-0.0603749	-0.0600733
43	0.0086	-0.0583477	-0.0582357	-0.0604095	-0.0600992
44	0.0088	-0.0584125	-0.0583049	-0.0604404	-0.0601217
45	0.009	-0.0584747	-0.0583714	-0.0604678	-0.0601408
46	0.0092	-0.0585345	-0.0584352	-0.0604919	-0.0601569
47	0.0094	-0.058592	-0.0584966	-0.060513	-0.0601701
48	0.0096	-0.0586472	-0.0585555	-0.0605313	-0.0601807
49	0.0098	-0.0587002	-0.0586122	-0.0605471	-0.0601888
50	0.01	-0.0587512	-0.0586666	-0.0605604	-0.0601945
51	0.0102	-0.0588002	-0.0587189	-0.0605714	-0.0601997
52	0.0104	-0.0588472	-0.0587691	-0.0605804	-0.0602043
53	0.0106	-0.0588924	-0.0588174	-0.0605874	-0.0602082
54	0.0108	-0.0589358	-0.0588637	-0.0605926	-0.0602116
55	0.011	-0.0589776	-0.0589083	-0.0605961	-0.0602145
56	0.0112	-0.0590177	-0.0589511	-0.0605982	-0.0602167
57	0.0114	-0.0590562	-0.0589922	-0.0605987	-0.0602185
58	0.0116	-0.0590932	-0.0590317	-0.060598	-0.0602198
59	0.0118	-0.0591287	-0.0590697	-0.060596	-0.0602205
60	0.012	-0.0591629	-0.0591062	-0.060593	-0.0602208
61	0.0122	-0.0591957	-0.0591412	-0.0605888	-0.0602206
62	0.0124	-0.0592273	-0.0591749	-0.0605838	-0.06022
63	0.0126	-0.0592576	-0.0592073	-0.0605778	-0.0602189
64	0.0128	-0.0592867	-0.0592383	-0.0605711	-0.0602175
65	0.013	-0.0593146	-0.0592682	-0.0605636	-0.0602157
66	0.0132	-0.0593415	-0.0592969	-0.0605554	-0.0602135
67	0.0134	-0.0593673	-0.0593245	-0.0605467	-0.0602109
68	0.0136	-0.0593921	-0.059351	-0.0605373	-0.0602081
69	0.0138	-0.059416	-0.0593764	-0.0605275	-0.0602049
70	0.014	-0.0594389	-0.0594009	-0.0605172	-0.0602014
71	0.0142	-0.0594609	-0.0594244	-0.0605066	-0.0601977
72	0.0144	-0.059482	-0.0594469	-0.0604955	-0.0601937
73	0.0146	-0.0595023	-0.0594686	-0.0604841	-0.0601894
74	0.0148	-0.0595218	-0.0594894	-0.0604724	-0.0601849
75	0.015	-0.0595406	-0.0595095	-0.0604605	-0.0601802
76	0.0152	-0.0595586	-0.0595287	-0.0604484	-0.0601753
77	0.0154	-0.0595759	-0.0595472	-0.060436	-0.0601702
78	0.0156	-0.0595925	-0.0595649	-0.0604235	-0.0601649
79	0.0158	-0.0596085	-0.059582	-0.0604109	-0.0601594
80	0.016	-0.0596239	-0.0595984	-0.0603981	-0.0601538
81	0.0162	-0.0596386	-0.0596141	-0.0603853	-0.060148
82	0.0164	-0.0596528	-0.0596293	-0.0603724	-0.0601421
83	0.0166	-0.0596664	-0.0596438	-0.0603594	-0.060136
84	0.0168	-0.0596795	-0.0596578	-0.0603465	-0.0601299
85	0.017	-0.059692	-0.0596712	-0.0603335	-0.0601236
86	0.0172	-0.0597041	-0.0596841	-0.0603205	-0.0601172
87	0.0174	-0.0597157	-0.0596965	-0.0603075	-0.0601108
88	0.0176	-0.0597269	-0.0597084	-0.0602945	-0.0601042
89	0.0178	-0.0597376	-0.0597198	-0.0602816	-0.0600976
90	0.018	-0.0597479	-0.0597308	-0.0602688	-0.0600909
91	0.0182	-0.0597578	-0.0597413	-0.060256	-0.0600842
92	0.0184	-0.0597673	-0.0597515	-0.0602433	-0.0600774
93	0.0186	-0.0597764	-0.0597612	-0.0602306	-0.0600706
94	0.0188	-0.0597851	-0.0597706	-0.0602181	-0.0600637
95	0.019	-0.0597936	-0.0597796	-0.0602057	-0.0600568
96	0.0192	-0.0598017	-0.0597882	-0.0601933	-0.0600498
97	0.0194	-0.0598094	-0.0597965	-0.0601811	-0.0600429
98	0.0196	-0.0598169	-0.0598045	-0.060169	-0.0600359
99	0.0198	-0.0598241	-0.0598122	-0.060157	-0.0600289
100	0.02	-0.059831	-0.0598195	-0.0601452	-0.0600219
101	0.0202	-0.0598376	-0.0598266	-0.0601335	-0.0600148
102	0.0204	-0.059844	-0.0598334	-0.0601219	-0.0600078
103	0.0206	-0.0598501	-0.0598399	-0.0601104	-0.0600008
104	0.0208	-0.059856	-0.0598462	-0.0600991	-0.0599938
105	0.021	-0.0598616	-0.0598519	-0.0600879	-0.0599868
106	0.0212	-0.0598671	-0.0598569	-0.0600769	-0.0599798
107	0.0214	-0.0598723	-0.0598613	-0.0600661	-0.0599728
108	0.0216	-0.0598773	-0.059865	-0.0600554	-0.0599658
109	0.0218	-0.0598821	-0.0598682	-0.0600449	-0.0599589
110	0.022	-0.0598867	-0.0598709	-0.0600346	-0.059952
111	0.0222	-0.0598912	-0.059873	-0.0600246	-0.0599451
112	0.0224	-0.0598954	-0.0598746	-0.0600147	-0.0599382
113	0.0226	-0.0598995	-0.0598758	-0.0600051	-0.0599314
114	0.0228	-0.0599035	-0.0598764	-0.0599957	-0.0599246
115	0.023	-0.059907	-0.0598767	-0.0599866	-0.0599178
116	0.0232	-0.0599098	-0.0598765	-0.0599777	-0.0599111
117	0.0234	-0.059912	-0.0598759	-0.059969	-0.0599044
118	0.0236	-0.0599135	-0.0598749	-0.0599606	-0.0598978
119	0.0238	-0.0599145	-0.0598735	-0.0599525	-0.0598913
120	0.024	-0.0599149	-0.0598718	-0.0599446	-0.0598849
121	0.0242	-0.0599149	-0.0598698	-0.059937	-0.0598786
122	0.0244	-0.0599144	-0.0598675	-0.0599296	-0.0598725
123	0.0246	-0.0599134	-0.0598649	-0.0599225	-0.0598664
124	0.0248	-0.059912	-0.059862	-0.0599156	-0.0598606
125	0.025	-0.0599103	-0.0598589	-0.059909	-0.0598548
126	0.0252	-0.0599082	-0.0598556	-0.0599027	-0.0598493
127	0.0254	-0.0599059	-0.059852	-0.0598966	-0.0598438
128	0.0256	-0.0599032	-0.0598483	-0.0598907	-0.0598386
129	0.0258	-0.0599003	-0.0598443	-0.0598851	-0.0598335
130	0.026	-0.0598972	-0.0598403	-0.0598798	-0.0598286
131	0.0262	-0.0598939	-0.0598361	-0.0598747	-0.0598238
132	0.0264	-0.0598903	-0.0598317	-0.0598698	-0.0598192
133	0.0266	-0.0598867	-0.0598273	-0.0598651	-0.0598148
134	0.0268	-0.0598828	-0.0598227	-0.0598607	-0.0598105
135	0.027	-0.0598789	-0.0598181	-0.0598565	-0.0598064
136	0.0272	-0.0598749	-0.0598134	-0.0598525	-0.0598024
137	0.0274	-0.0598708	-0.0598087	-0.0598487	-0.0597986
138	0.0276	-0.0598666	-0.0598039	-0.0598451	-0.059795
139	0.0278	-0.0598623	-0.0597991	-0.0598418	-0.0597915
140	0.028	-0.059858	-0.0597943	-0.0598386	-0.0597881
141	0.0282	-0.0598537	-0.0597894	-0.0598356	-0.0597849
142	0.0284	-0.0598494	-0.0597846	-0.0598327	-0.0597818
143	0.0286	-0.0598451	-0.0597797	-0.0598301	-0.0597789
144	0.0288	-0.0598408	-0.0597749	-0.0598276	-0.0597761
145	0.029	-0.0598365	-0.0597701	-0.0598253	-0.0597734
146	0.0292	-0.0598322	-0.0597653	-0.0598231	-0.0597708
147	0.0294	-0.059828	-0.0597606	-0.0598211	-0.0597684
148	0.0296	-0.0598238	-0.0597559	-0.0598192	-0.059766
149	0.0298	-0.0598197	-0.0597512	-0.0598173	-0.0597638
150	0.03	-0.0598156	-0.0597466	-0.0598156	-0.0597616
151	0.0302	-0.0598116	-0.059742	-0.0598139	-0.0597596
152	0.0304	-0.0598076	-0.0597375	-0.0598122	-0.0597576
153	0.0306	-0.0598037	-0.0597331	-0.0598107	-0.0597557
154	0.0308	-0.0597999	-0.0597287	-0.0598092	-0.0597539
155	0.031	-0.0597961	-0.0597244	-0.0598077	-0.0597522
156	0.0312	-0.0597924	-0.0597201	-0.0598064	-0.0597505
157	0.0314	-0.0597887	-0.059716	-0.0598051	-0.0597489
158	0.0316	-0.0597851	-0.0597119	-0.0598038	-0.0597474
159	0.0318	-0.0597816	-0.0597078	-0.0598026	-0.0597459
160	0.032	-0.0597781	-0.0597039	-0.0598014	-0.0597445
161	0.0322	-0.0597747	-0.0597	-0.0598003	-0.0597432
162	0.0324	-0.0597714	-0.0596961	-0.0597993	-0.0597419
163	0.0326	-0.0597681	-0.0596924	-0.0597983	-0.0597406
